what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374567253837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374567259711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567267328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567327530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567343858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567344978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567348796
error,log,,,"Internal Error",1374567350018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567350053
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1374567350086
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1374567350146
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1374567350165
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ModuleView",1374567350183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374567350284
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1374567351875
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1374567351973
error,log,,,"Internal Error",1374567352032
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1374567353164
error,log,,,"Internal Error",1374567353293
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1374567368988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567373494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374567394369
